역이름,역지역,위도,경도
여의도,수도권,37.52116647,126.9246384
여의나루,수도권,37.52713613,126.9329815
마포,수도권,37.53954051,126.9458467
애오개,수도권,37.55340233,126.9566558
서대문,수도권,37.56574923,126.9666319
광화문,수도권,37.5716441,126.9764096
청구,수도권,37.56020299,127.0139212
신금호,수도권,37.55447169,127.0204841
행당,수도권,37.55735297,127.0294937
마장,수도권,37.56612455,127.0429667
답십리,수도권,37.56696761,127.0525432
장한평,수도권,37.56159218,127.0636992
군자,수도권,37.5571497,127.0794948
아차산,수도권,37.55224106,127.0895615
광나루,수도권,37.54529197,127.1035169
천호,수도권,37.53849681,127.1239194
강동,수도권,37.53587473,127.1323782
길동,수도권,37.53781209,127.1400077
삼송,수도권,37.65306773,126.8956537
굽은다리,수도권,37.54550319,127.1428737
명일,수도권,37.5513943,127.1440392
고덕,수도권,37.55503956,127.1541639
상일동,수도권,37.55666348,127.1658921
둔촌동,수도권,37.52765324,127.1362101
올림픽공원,수도권,37.51632457,127.1309637
방이,수도권,37.50874343,127.126087
개롱,수도권,37.49795748,127.1350705
마천,수도권,37.49503458,127.1528418
응암,수도권,37.59848384,126.9155241
역촌,수도권,37.60621934,126.9228313
구산,수도권,37.61124308,126.9172538
새절,수도권,37.59086003,126.9135625
증산,수도권,37.58373913,126.9094724
월드컵경기장,수도권,37.56962115,126.8990982
마포구청,수도권,37.56347996,126.9034075
망원,수도권,37.55607905,126.9100943
상수,수도권,37.54776257,126.9224163
광흥창,수도권,37.54748017,126.9320127
대흥,수도권,37.54762988,126.9424687
녹사평,수도권,37.53470477,126.9865361
이태원,수도권,37.53450718,126.9943203
한강진,수도권,37.53978717,127.0017425
버티고개,수도권,37.54782391,127.0067218
거여,수도권,37.49331604,127.1437693
독바위,수도권,37.61840694,126.9330355
동묘앞,수도권,37.57321306,127.0163461
창신,수도권,37.57941204,127.0152833
보문,수도권,37.58553809,127.0199945
안암,수도권,37.586293,127.0292334
고려대,수도권,37.59043561,127.0363004
월곡,수도권,37.60180442,127.0414471
상월곡,수도권,37.60654081,127.0488111
돌곶이,수도권,37.61053781,127.0564245
태릉입구,수도권,37.61845592,127.0753917
봉화산,수도권,37.61734543,127.0913612
장암,수도권,37.69995296,127.0528183
수락산,수도권,37.67787787,127.0553419
마들,수도권,37.66519095,127.0576899
중계,수도권,37.64507771,127.0641103
하계,수도권,37.63646213,127.0679777
먹골,수도권,37.61061578,127.0777622
중화,수도권,37.60254189,127.0792939
면목,수도권,37.58869687,127.0874993
사가정,수도권,37.58092958,127.0884864
용마산,수도권,37.57370489,127.0867572
중곡,수도권,37.56586804,127.084258
어린이대공원,수도권,37.54794467,127.0746417
뚝섬유원지,수도권,37.53155118,127.0667736
화랑대,수도권,37.61983796,127.0835259
청담,수도권,37.51944838,127.0537089
학동,수도권,37.5143566,127.0318974
논현,수도권,37.51118739,127.0216486
반포,수도권,37.50814341,127.0115816
내방,수도권,37.48765492,126.9935776
이수,수도권,37.48678878,126.9822028
남성,수도권,37.4847863,126.9708966
숭실대입구,수도권,37.49631367,126.9536129
상도,수도권,37.5028526,126.9479089
장승배기,수도권,37.50488464,126.9390633
신대방삼거리,수도권,37.49974281,126.928211
보라매,수도권,37.49991814,126.9205886
신풍,수도권,37.50010856,126.9097317
대림,수도권,37.49330273,126.8949265
남구로,수도권,37.48698929,126.8879703
철산,수도권,37.47619283,126.868202
광명사거리,수도권,37.47929468,126.8548557
천왕,수도권,37.48684204,126.8385816
까치울,수도권,37.50620931,126.8113284
부천종합운동장,수도권,37.50541107,126.7972158
신중동,수도권,37.50294171,126.7768882
부천시청,수도권,37.50462869,126.764058
삼산체육관,수도권,37.50649141,126.7414097
굴포천,수도권,37.50702756,126.731342
부평구청,수도권,37.50741907,126.721433
암사,수도권,37.55013386,127.1275373
공릉,수도권,37.62553917,127.07302
춘의,수도권,37.50368117,126.7869967
강동구청,수도권,37.53019318,127.1204437
몽촌토성,수도권,37.5178029,127.112845
석촌,수도권,37.50541053,127.1069905
송파,수도권,37.49971136,127.1121845
문정,수도권,37.48602386,127.1224758
장지,수도권,37.4786317,127.126172
산성,수도권,37.45679931,127.1500739
남한산성입구,수도권,37.45166871,127.1598735
단대오거리,수도권,37.4450234,127.156763
신흥,수도권,37.44090864,127.1475336
수진,수도권,37.43736718,127.1405209
계양,수도권,37.57176634,126.7362714
귤현,수도권,37.56628441,126.7426746
박촌,수도권,37.55365762,126.7450494
임학,수도권,37.54499402,126.7386289
계산,수도권,37.54329353,126.7277267
경인교대입구,수도권,37.53810989,126.7226087
작전,수도권,37.53025304,126.7225473
갈산,수도권,37.51711408,126.7215327
부평시장,수도권,37.49835698,126.7222809
동수,수도권,37.48549993,126.7185973
부평삼거리,수도권,37.47782129,126.7102825
인천시청,수도권,37.45772679,126.7022222
예술회관,수도권,37.44851514,126.7009026
인천터미널,수도권,37.44191665,126.6996858
상동,수도권,37.50577775,126.7531744
문학경기장,수도권,37.43463332,126.6984495
선학,수도권,37.42693984,126.6989096
신연수,수도권,37.41809734,126.6940197
동춘,수도권,37.40456527,126.6808375
동막,수도권,37.39793159,126.6734345
캠퍼스타운,수도권,37.38843935,126.6622061
테크노파크,수도권,37.38227737,126.6562946
지식정보단지,수도권,37.3774892,126.6458615
인천대입구,수도권,37.38619191,126.6395197
센트럴파크,수도권,37.39284549,126.6349707
국제업무지구,수도권,37.39964339,126.6305332
개화,수도권,37.57833729,126.7968823
공항시장,수도권,37.56367389,126.810595
신방화,수도권,37.56748653,126.8172183
마곡나루,수도권,37.56670899,126.8274074
양천향교,수도권,37.56806284,126.8419608
증미,수도권,37.55812134,126.8606334
등촌,수도권,37.55072086,126.8655586
선유도,수도권,37.53815324,126.8933248
염창,수도권,37.54696492,126.8748671
신목동,수도권,37.54427035,126.8830868
국회의사당,수도권,37.52813568,126.9178209
샛강,수도권,37.51736656,126.9283751
노들,수도권,37.5126577,126.9530825
흑석,수도권,37.50916547,126.963445
구반포,수도권,37.50142181,126.9874468
신반포,수도권,37.50349472,126.9960643
사평,수도권,37.50423263,127.015268
신논현,수도권,37.50480751,127.0254694
석촌고분,수도권,37.50246428,127.0964912
송파나루,수도권,37.51100951,127.1126538
한성백제,수도권,37.51651998,127.1164401
둔촌오륜,수도권,37.51939724,127.1386385
중앙보훈병원,수도권,37.52839539,127.1484071
검암,수도권,37.56924921,126.6736388
동천,수도권,37.33782491,127.1028478
수지구청,수도권,37.32247817,127.0946585
성복,수도권,37.31351444,127.0803656
상현,수도권,37.29782538,127.069341
광교중앙,수도권,37.28837349,127.0517173
가양,수도권,37.56142949,126.8544022
삼성중앙,수도권,37.51296146,127.0530256
봉은사,수도권,37.51423744,127.0602203
삼전,수도권,37.5045437,127.0873557
청라국제도시,수도권,37.55645368,126.6246449
운서,수도권,37.49280526,126.4937254
양재시민의숲,수도권,37.47011519,127.0384578
판교,수도권,37.39476222,127.1111922
광교,수도권,37.30210833,127.0442598
공항화물청사,수도권,37.45905522,126.4774964
인천공항1터미널,수도권,37.44751771,126.452579
인천공항2터미널,수도권,37.46878217,126.4336365
영종,수도권,37.51201816,126.5249715
북한산우이,수도권,37.66298795,127.012739
솔밭공원,수도권,37.65597826,127.0132591
4·19민주묘지,수도권,37.64952717,127.0136886
가오리,수도권,37.64163416,127.016769
삼양사거리,수도권,37.62130733,127.0204798
솔샘,수도권,37.62024516,127.0135699
북한산보국문,수도권,37.61211873,127.0082453
정릉,수도권,37.6026038,127.0135214
오리,수도권,37.33981974,127.1089444
간석오거리,수도권,37.46707543,126.707905
종로5가,수도권,37.57096169,127.0015395
신설동,수도권,37.57602276,127.0244522
제기동,수도권,37.57816449,127.0349359
죽전,수도권,37.32437739,127.1075005
청계산입구,수도권,37.44834032,127.0547203
소새울,수도권,37.46850593,126.7972703
시흥대야,수도권,37.45009985,126.7929802
신천,수도권,37.43924062,126.7867727
신현,수도권,37.40956305,126.7878282
시흥시청,수도권,37.38155438,126.8059278
시흥능곡,수도권,37.36993571,126.8087123
달미,수도권,37.34878072,126.809398
선부,수도권,37.33440122,126.809976
원곡,수도권,37.31314918,126.7957254
원시,수도권,37.30260931,126.7867755
서초,수도권,37.49183552,127.007644
소요산,수도권,37.94888318,127.0611195
신포,수도권,37.46844368,126.6245202
상왕십리,수도권,37.56443486,127.0292701
한남,수도권,37.52942532,127.0091865
지제,수도권,37.01876739,127.0698282
도림천,수도권,37.51450082,126.8826355
양천구청,수도권,37.51237445,126.8657179
용두,수도권,37.57405492,127.0382621
기흥,수도권,37.27544207,127.1170374
화정,수도권,37.63463316,126.8326658
언주,수도권,37.50732819,127.0339528
종각,수도권,37.57022168,126.9831338
화계,수도권,37.6340838,127.0174924
삼양,수도권,37.62691185,127.0181477
가좌,수도권,37.56875056,126.9148106
